钢材大类及详细细分分类表,,,,
方矩管,镀锌带方管,镀锌带管,镀锌方管,镀锌带
,镀锌带矩管,,,
,黑方管,黑方,,
,黑方矩管,,,
,热镀锌方管,热镀锌,,
,热镀锌矩管,,,
板材,高强板,,,
,锅炉板,,,
,花纹板,,,
,卷板,,,
,开平板,,,
,耐磨板,,,
,容器板,,,
,中厚板,中板,,
型材,H型钢,,,
,扁钢,热轧扁钢、冷轧扁钢,扁铁,
,槽钢,,,
,镀锌槽钢,镀锌槽,,
,镀锌带扁钢,,,
,镀锌工字钢,,,
,镀锌角钢,镀锌角,,
,方钢,热轧方钢,冷拉方钢,
,钢板桩,,,
,工字钢,,,
,角钢,等边角钢、不等边角钢,,
,热镀锌扁钢,,,
,热镀锌圆钢,,,
管材,镀锌带圆管,镀管,,
,镀锌管,,,
,镀锌螺旋管,,,
,镀锌无缝管,,,
,焊管,,,
,螺旋管,,,
,热镀锌直缝管,,,
,无缝管,,,
,直缝焊管,,,
矿用品,U型钢,,,
,镀锌铁丝,,,
,钢绞线,,,
,工字钢,,,
,矿工钢,,,
,履带钢,,,
,锚杆钢,,,
,起重轨,,,
,轻轨,,,
,锁扣钢,,,
,铁丝,,,
,重轨,,,
,π型梁,,,
棒材,螺纹钢,钢筋,螺纹,
,盘螺,,,
,线材,,,
,圆钢,,,
