钢材大类, 主类型      , 别称
方矩管  , 镀锌带方管  , "镀锌带管,镀锌方管,镀锌带"
方矩管  , 镀锌带矩管  , 
方矩管  , 黑方管      , 黑方
方矩管  , 黑方矩管    , 
方矩管  , 热镀锌方管  , 热镀锌
方矩管  , 热镀锌矩管  , 
板材    , 高强板      , 
板材    , 锅炉板      , 
板材    , 花纹板      , 
板材    , 卷板        , 
板材    , 开平板      , 
板材    , 耐磨板      , 
板材    , 容器板      , 
板材    , 中厚板      , 中板
型材    , H型钢       , 
型材    , 扁钢        , "热轧扁钢、冷轧扁钢,扁铁"
型材    , 槽钢        , 
型材    , 镀锌槽钢    , 镀锌槽
型材    , 镀锌带扁钢  , 
型材    , 镀锌工字钢  , 
型材    , 镀锌角钢    , 镀锌角
型材    , 方钢        , "热轧方钢,冷拉方钢"
型材    , 钢板桩      , 
型材    , 工字钢      , 
型材    , 角钢        , 等边角钢、不等边角钢
型材    , 热镀锌扁钢  , 
型材    , 热镀锌圆钢  , 
管材    , 镀锌带圆管  , 镀管
管材    , 镀锌管      , 
管材    , 镀锌螺旋管  , 
管材    , 镀锌无缝管  , 
管材    , 焊管        , 
管材    , 螺旋管      , 
管材    , 镀锌直缝管, 
管材    , 无缝管      , 
管材    , 直缝焊管    , 
矿用品  , U型钢       , 
矿用品  , 镀锌铁丝    , 
矿用品  , 钢绞线      , 
矿用品  , 工字钢      , 
矿用品  , 矿工钢      , 
矿用品  , 履带钢      , 
矿用品  , 锚杆钢      , 
矿用品  , 起重轨      , 
矿用品  , 轻轨        , 
矿用品  , 锁扣钢      , 
矿用品  , 铁丝        , 
矿用品  , 重轨        , 
矿用品  , π型梁       , 
棒材    , 螺纹钢      , "钢筋,螺纹"
棒材    , 盘螺        , 
棒材    , 线材        , 
棒材    , 圆钢        , 
